quarter,revenue
2005-01,1902000000
2005-04,1753000000
2005-07,1858000000
2005-10,2977000000
2006-01,2279000000
2006-04,2139000000
2006-07,2307000000
2006-10,3986000000
2007-01,3015000000
2007-04,2886000000
2007-07,3262000000
2007-10,5672000000
2008-01,4135000000
2008-04,4063000000
2008-07,4264000000
2008-10,6704000000
2009-01,4889000000
2009-04,4651000000
2009-07,5449000000
2009-10,9520000000
2010-01,7131000000
2010-04,6566000000
2010-07,7560000000
2010-10,12947000000
2011-01,9857000000
2011-04,9913000000
2011-07,10876000000
2011-10,17431000000
2012-01,13185000000
2012-04,12834000000
2012-07,13806000000
2012-10,21268000000
2013-01,16070000000
2013-04,15704000000
2013-07,17092000000
2013-10,25586000000
2014-01,19741000000
2014-04,19340000000
2014-07,20579000000
2014-10,29328000000
2015-01,22717000000
2015-04,23185000000
2015-07,25358000000
2015-10,35746000000
2016-01,29128000000
2016-04,30404000000
2016-07,32714000000
2016-10,43741000000
2017-01,35714000000
2017-04,37955000000
2017-07,43744000000
2017-10,60453000000
2018-01,51042000000
2018-04,52886000000
2018-07,56576000000
2018-10,72383000000
2019-01,59700000000
2019-04,63404000000
2019-07,69981000000